City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
232,port hardy,90,CA,1562718231,82,50.7,-127.42,60.8,6.93
233,limbuhan,63,PH,1562718232,74,11.06,125.02,80.87,1.59
234,piacabucu,35,BR,1562718232,89,-10.41,-36.43,74.03,9.8
235,yar-sale,91,RU,1562718232,68,66.83,70.83,48.65,6.06
236,atar,0,MR,1562718232,12,20.52,-13.05,94.19,19.19
237,poum,16,MK,1562718233,87,41.28,20.71,58.55,1.41
238,mahebourg,20,MU,1562718233,94,-20.41,57.7,70.0,5.82
239,severo-kurilsk,72,RU,1562718233,94,50.68,156.12,43.43,14.45
240,salalah,75,OM,1562718234,83,17.01,54.1,82.4,4.7
241,hay river,75,CA,1562718234,58,60.82,-115.79,57.2,5.82
242,fayaoue,33,NC,1562718234,64,-20.65,166.53,69.71,16.93
243,calabar,100,NG,1562718234,94,4.98,8.34,71.69,5.68
244,maniitsoq,65,GL,1562718235,83,65.42,-52.9,44.69,7.14
245,husavik,100,CA,1562717974,95,50.56,-96.99,68.0,9.75
246,mansoa,97,GW,1562718235,86,12.07,-15.32,78.35,7.4
247,mogzon,0,RU,1562718235,38,51.74,111.97,74.75,1.05
248,nabire,100,ID,1562718236,98,-3.36,135.5,68.45,2.8
249,zemaiciu naumiestis,87,LT,1562718236,88,55.36,21.7,52.97,8.95
250,balaipungut,89,ID,1562718236,94,1.11,101.31,75.65,1.74
251,provideniya,0,RU,1562718236,38,64.42,-173.23,77.0,8.95
252,kathu,0,ZA,1562718237,65,-27.7,23.05,39.99,4.12
253,daru,100,PG,1562718237,71,-9.07,143.21,79.43,9.91
254,kenai,1,US,1562717983,72,60.55,-151.26,73.0,12.75
255,rolla,1,US,1562718003,58,37.95,-91.77,91.99,3.36
256,huarmey,0,PE,1562718238,89,-10.07,-78.15,62.33,14.16
257,faanui,5,PF,1562718238,73,-16.48,-151.75,77.99,11.72
258,high prairie,92,CA,1562718239,58,55.43,-116.48,61.25,6.6
259,howard springs,20,AU,1562718239,69,-12.5,131.05,79.0,9.17
260,south sioux city,40,US,1562718217,55,42.47,-96.41,87.8,11.41
261,saskylakh,0,RU,1562718240,73,71.97,114.09,60.71,12.03
262,carson city,1,US,1562718240,16,39.16,-119.77,91.99,12.75
263,ahipara,0,NZ,1562718240,100,-35.17,173.16,64.0,14.2
264,bredasdorp,0,ZA,1562718241,87,-34.53,20.04,59.0,5.82
265,kologriv,100,RU,1562718241,99,58.83,44.31,51.71,2.24
266,santa ana,0,MX,1562718241,15,30.54,-111.12,100.0,5.01
267,marzuq,86,YE,1562718242,23,14.4,46.47,84.11,7.63
268,zilupe,68,RU,1562718242,99,56.39,28.12,48.83,6.06
269,fairlie,1,US,1562718242,59,33.31,-95.96,93.99,11.41
270,hervey bay,75,AU,1562718242,77,-25.3,152.85,73.0,5.82
